Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
18/08/2018,Atlas,Monarcas,0,1,A,2.21,3.64,3.28
18/08/2018,Cruz Azul,Club Leon,3,0,H,1.87,3.5,4.74
19/08/2018,Pachuca,Lobos BUAP,3,0,H,1.75,3.92,4.88
19/08/2018,Necaxa,Puebla,2,2,D,2,3.5,4.03
19/08/2018,Queretaro,Club America,1,1,D,4.27,3.81,1.86
19/08/2018,Monterrey,U.N.A.M.- Pumas,1,0,H,1.59,4.29,5.82
19/08/2018,Toluca,Club Tijuana,3,0,H,1.93,3.55,4.29
20/08/2018,Santos Laguna,U.A.N.L.- Tigres,3,1,H,2.81,3.33,2.66
22/08/2018,Monarcas,Pachuca,1,1,D,2.82,3.57,2.5
22/08/2018,U.N.A.M.- Pumas,Queretaro,0,1,A,1.86,3.77,4.33
22/08/2018,Guadalajara Chivas,Necaxa,1,0,H,2.31,3.38,3.29
22/08/2018,Puebla,Atlas,2,0,H,2.49,3.09,3.26
23/08/2018,Club Leon,Club America,2,0,H,2.94,3.6,2.4
23/08/2018,Cruz Azul,Toluca,1,0,H,2.02,3.31,4.21
23/08/2018,Lobos BUAP,Monterrey,1,2,A,4.39,3.6,1.88
23/08/2018,U.A.N.L.- Tigres,Veracruz,4,0,H,1.32,5.19,11.94
23/08/2018,Club Tijuana,Santos Laguna,2,2,D,2.12,3.39,3.69
25/08/2018,Atlas,Guadalajara Chivas,0,1,A,2.86,3.08,2.78
25/08/2018,Pachuca,Puebla,2,0,H,1.81,3.7,4.8
26/08/2018,Club America,U.N.A.M.- Pumas,2,2,D,1.68,3.89,5.59
26/08/2018,Veracruz,Club Tijuana,1,0,H,3.27,3.34,2.34
26/08/2018,Necaxa,U.A.N.L.- Tigres,1,1,D,3.27,3.33,2.34
26/08/2018,Monterrey,Monarcas,2,2,D,1.53,4.06,7.6
26/08/2018,Queretaro,Lobos BUAP,2,0,H,1.96,3.72,3.92
26/08/2018,Toluca,Club Leon,1,2,A,2.14,3.52,3.54
27/08/2018,Santos Laguna,Cruz Azul,1,1,D,2.86,3.34,2.61
01/09/2018,Monarcas,Queretaro,1,4,A,2.14,3.43,3.65
01/09/2018,Puebla,Monterrey,2,1,H,3.87,3.48,2.05
